"","bidirectId","centrality_pre","centrality_post","geom_length","pre_scenario","post_scenario"
"28556",78718,3,110,0.143693988433503,"[1-726]","[1-726]"
"28557",78718,3,110,0.143693988433503,"[1-726]","[1-726]"
"28558",78718,3,110,0.143693988433503,"[1-726]","[1-726]"
"28559",78718,3,110,0.143693988433503,"[1-726]","[1-726]"
"28560",78719,349,0,0.131817876530128,"[1-726]","[0]"
"28561",78719,349,0,0.131817876530128,"[1-726]","[0]"
"28562",78751,346,97,0.0551248149917326,"[1-726]","[1-726]"
"28563",78751,346,97,0.0551248149917326,"[1-726]","[1-726]"
"28564",78751,346,97,0.0551248149917326,"[1-726]","[1-726]"
"28565",78751,346,97,0.0551248149917326,"[1-726]","[1-726]"
"28566",78779,53,53,0.0478450006783855,"[1-726]","[1-726]"
"28567",78779,53,53,0.0478450006783855,"[1-726]","[1-726]"
"28568",78779,53,53,0.0478450006783855,"[1-726]","[1-726]"
"28569",78779,53,53,0.0478450006783855,"[1-726]","[1-726]"
"28570",78781,53,53,0.177434302663843,"[1-726]","[1-726]"
"28571",78781,53,53,0.177434302663843,"[1-726]","[1-726]"
"28572",78781,53,53,0.177434302663843,"[1-726]","[1-726]"
"28573",78781,53,53,0.177434302663843,"[1-726]","[1-726]"
"28574",78782,26,26,0.0948734705683654,"[1-726]","[1-726]"
"28575",78782,26,26,0.0948734705683654,"[1-726]","[1-726]"
"28576",78782,26,26,0.0948734705683654,"[1-726]","[1-726]"
"28577",78782,26,26,0.0948734705683654,"[1-726]","[1-726]"
"28578",78787,924,521,0.0605804126217856,"[726-2114]","[1-726]"
"28579",78787,924,521,0.0605804126217856,"[726-2114]","[1-726]"
"28580",78787,924,521,0.0605804126217856,"[726-2114]","[1-726]"
"28581",78787,924,521,0.0605804126217856,"[726-2114]","[1-726]"
"28582",78788,1226,98,0.20246044482648,"[726-2114]","[1-726]"
"28583",78788,1226,98,0.20246044482648,"[726-2114]","[1-726]"
"28584",78788,1226,98,0.20246044482648,"[726-2114]","[1-726]"
"28585",78788,1226,98,0.20246044482648,"[726-2114]","[1-726]"
"28586",78789,1226,98,0.230715705756262,"[726-2114]","[1-726]"
"28587",78789,1226,98,0.230715705756262,"[726-2114]","[1-726]"
"28588",78789,1226,98,0.230715705756262,"[726-2114]","[1-726]"
"28589",78789,1226,98,0.230715705756262,"[726-2114]","[1-726]"
"28590",78814,1731,1002,0.033817266189933,"[726-2114]","[726-2114]"
"28591",78814,1731,1002,0.033817266189933,"[726-2114]","[726-2114]"
"28592",78814,1731,1002,0.033817266189933,"[726-2114]","[726-2114]"
"28593",78814,1731,1002,0.033817266189933,"[726-2114]","[726-2114]"
"28594",78820,1731,1002,0.0759387498052922,"[726-2114]","[726-2114]"
"28595",78820,1731,1002,0.0759387498052922,"[726-2114]","[726-2114]"
"28596",78820,1731,1002,0.0759387498052922,"[726-2114]","[726-2114]"
"28597",78820,1731,1002,0.0759387498052922,"[726-2114]","[726-2114]"
"28598",78828,341,124,0.0246229886510024,"[1-726]","[1-726]"
"28599",78828,341,124,0.0246229886510024,"[1-726]","[1-726]"
"28600",78828,341,124,0.0246229886510024,"[1-726]","[1-726]"
"28601",78828,341,124,0.0246229886510024,"[1-726]","[1-726]"
"28602",78829,341,124,0.0376606578983157,"[1-726]","[1-726]"
"28603",78829,341,124,0.0376606578983157,"[1-726]","[1-726]"
"28604",78829,341,124,0.0376606578983157,"[1-726]","[1-726]"
"28605",78829,341,124,0.0376606578983157,"[1-726]","[1-726]"
"28606",78831,341,124,0.0617738859949152,"[1-726]","[1-726]"
"28607",78831,341,124,0.0617738859949152,"[1-726]","[1-726]"
"28608",78831,341,124,0.0617738859949152,"[1-726]","[1-726]"
"28609",78831,341,124,0.0617738859949152,"[1-726]","[1-726]"
"28610",78832,255,41,0.0213471937883243,"[1-726]","[1-726]"
"28611",78832,255,41,0.0213471937883243,"[1-726]","[1-726]"
"28612",78832,255,41,0.0213471937883243,"[1-726]","[1-726]"
"28613",78832,255,41,0.0213471937883243,"[1-726]","[1-726]"
"28614",78837,255,41,0.0788345703085116,"[1-726]","[1-726]"
"28615",78837,255,41,0.0788345703085116,"[1-726]","[1-726]"
"28616",78837,255,41,0.0788345703085116,"[1-726]","[1-726]"
"28617",78837,255,41,0.0788345703085116,"[1-726]","[1-726]"
"28618",78840,691,623,0.213896273792617,"[1-726]","[1-726]"
"28619",78840,691,623,0.213896273792617,"[1-726]","[1-726]"
"28620",78840,691,623,0.213896273792617,"[1-726]","[1-726]"
"28621",78840,691,623,0.213896273792617,"[1-726]","[1-726]"
"28622",78841,691,623,0.239780055682689,"[1-726]","[1-726]"
"28623",78841,691,623,0.239780055682689,"[1-726]","[1-726]"
"28624",78841,691,623,0.239780055682689,"[1-726]","[1-726]"
"28625",78841,691,623,0.239780055682689,"[1-726]","[1-726]"
"28626",78842,861,705,0.316011018031053,"[726-2114]","[1-726]"
"28627",78842,861,705,0.316011018031053,"[726-2114]","[1-726]"
"28628",78842,861,705,0.316011018031053,"[726-2114]","[1-726]"
"28629",78842,861,705,0.316011018031053,"[726-2114]","[1-726]"
"28630",78854,12,12,0.227108910486059,"[1-726]","[1-726]"
"28631",78854,12,12,0.227108910486059,"[1-726]","[1-726]"
"28632",78854,12,12,0.227108910486059,"[1-726]","[1-726]"
"28633",78854,12,12,0.227108910486059,"[1-726]","[1-726]"
